doi,task,taskLabel,score,rank
10.1109/NBEC58134.2023.10352622,http://h-da.de/ml-ontology/image_classification,image classification,0.464473158121109,2
10.1109/NBEC58134.2023.10352622,http://h-da.de/ml-ontology/classification,classification,0.4111126661300659,3
10.1109/NBEC58134.2023.10352622,http://h-da.de/ml-ontology/multiclass_classification,multiclass classification,0.37386101484298706,4
10.1109/NBEC58134.2023.10352622,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.3551366627216339,5
10.1109/NBEC58134.2023.10352634,http://h-da.de/ml-ontology/time_series_analysis,time series analysis,0.3595393896102905,1
10.1109/NET-LC65482.2025.11071212,http://h-da.de/ml-ontology/feature_selection,feature selection,0.36135342717170715,1
10.1109/NET-LC65482.2025.11071212,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3582190275192261,2
10.1109/NETCRYPT65877.2025.11102187,http://h-da.de/ml-ontology/image_classification,image classification,0.37910163402557373,1
10.1109/NETCRYPT65877.2025.11102627,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3824603855609894,1
10.1109/NETCRYPT65877.2025.11102653,http://h-da.de/ml-ontology/image_classification,image classification,0.5186954736709595,1
10.1109/NETCRYPT65877.2025.11102653,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3863629996776581,2
10.1109/NETCRYPT65877.2025.11102653,http://h-da.de/ml-ontology/binary_classification,binary classification,0.38338661193847656,3
10.1109/NETCRYPT65877.2025.11102653,http://h-da.de/ml-ontology/object_detection,object detection,0.3582225441932678,4
10.1109/NIGERCON62786.2024.10927082,http://h-da.de/ml-ontology/regression,regression,0.48527762293815613,1
10.1109/NIGERCON62786.2024.10927082,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.44540518522262573,2
10.1109/NIGERCON62786.2024.10927082,http://h-da.de/ml-ontology/tabular_regression,tabular regression,0.36610203981399536,3
10.1109/NIGERCON62786.2024.10927105,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.3964889943599701,1
10.1109/NIGERCON62786.2024.10927105,http://h-da.de/ml-ontology/binary_classification,binary classification,0.36182138323783875,2
10.1109/NIGERCON62786.2024.10927133,http://h-da.de/ml-ontology/binary_classification,binary classification,0.4238884747028351,1
10.1109/NIGERCON62786.2024.10927133,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.398395299911499,2
10.1109/NIGERCON62786.2024.10927133,http://h-da.de/ml-ontology/image_classification,image classification,0.378620445728302,3
10.1109/NIGERCON62786.2024.10927133,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.3712976276874542,4
10.1109/NIGERCON62786.2024.10927133,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.3607138991355896,5
10.1109/NILES63360.2024.10753198,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.3558705449104309,1
